geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
3630,MESH:D000544,INS,Alzheimer Disease,1,2,marker/mechanism,0
3630,MESH:D003920,INS,Diabetes Mellitus,1,8,marker/mechanism|therapeutic,0
3630,MESH:D003924,INS,"Diabetes Mellitus, Type 2",1,10,marker/mechanism|therapeutic,0
3630,MESH:D003928,INS,Diabetic Nephropathies,1,3,marker/mechanism|therapeutic,0
3630,MESH:D006943,INS,Hyperglycemia,1,2,marker/mechanism|therapeutic,0
3630,MESH:D006946,INS,Hyperinsulinism,1,5,marker/mechanism,0
3630,MESH:D006947,INS,Hyperkalemia,1,3,marker/mechanism|therapeutic,0
3630,MESH:D006973,INS,Hypertension,1,2,marker/mechanism|therapeutic,0
3630,MESH:D007003,INS,Hypoglycemia,1,7,marker/mechanism,0
3630,MESH:D007022,INS,Hypotension,1,3,marker/mechanism|therapeutic,0
3630,MESH:D007333,INS,Insulin Resistance,1,4,marker/mechanism,0
3630,MESH:D024821,INS,Metabolic Syndrome,1,2,marker/mechanism,0
3630,MESH:D048629,INS,"Micronuclei, Chromosome-Defective",1,2,marker/mechanism,0
3630,MESH:D009765,INS,Obesity,1,4,marker/mechanism,0
3630,MESH:D011085,INS,Polycystic Ovary Syndrome,1,3,marker/mechanism,0
3630,MESH:D051437,INS,Renal Insufficiency,1,2,marker/mechanism,0
3630,MESH:D012640,INS,Seizures,1,2,marker/mechanism,0
16333,MESH:D003921,INS1,"Diabetes Mellitus, Experimental",1,2,therapeutic,0
16333,MESH:D006943,INS1,Hyperglycemia,1,4,therapeutic,0
16333,MESH:D007003,INS1,Hypoglycemia,1,4,marker/mechanism,0
16333,MESH:D012640,INS1,Seizures,1,3,marker/mechanism,0
16333,MESH:D015431,INS1,Weight Loss,1,2,therapeutic,0
51141,MESH:D015430,INSIG2,Weight Gain,1,2,marker/mechanism,0
3643,MESH:D003921,INSR,"Diabetes Mellitus, Experimental",1,2,marker/mechanism,0
3643,MESH:D006946,INSR,Hyperinsulinism,1,2,marker/mechanism,0
3643,MESH:D007333,INSR,Insulin Resistance,1,2,marker/mechanism,0
3643,MESH:D008171,INSR,Lung Diseases,1,2,marker/mechanism,0
3664,MESH:D002971,IRF6,Cleft Lip,1,3,marker/mechanism,0
3667,MESH:D006528,IRS1,"Carcinoma, Hepatocellular",1,2,marker/mechanism,0
3667,MESH:D003924,IRS1,"Diabetes Mellitus, Type 2",1,7,marker/mechanism,0
8660,MESH:D006943,IRS2,Hyperglycemia,1,2,marker/mechanism,0
3710,MESH:D000067877,ITPR3,Autism Spectrum Disorder,1,2,marker/mechanism,0
3710,MESH:D004195,ITPR3,"Disease Models, Animal",1,2,marker/mechanism,0
182,MESH:D005124,JAG1,Eye Abnormalities,1,3,marker/mechanism,0
3717,MESH:D003093,JAK2,"Colitis, Ulcerative",1,2,marker/mechanism,0
3717,MESH:D017202,JAK2,Myocardial Ischemia,1,2,marker/mechanism,0
3725,MESH:D002471,JUN,"Cell Transformation, Neoplastic",1,2,marker/mechanism,0
3725,MESH:D003110,JUN,Colonic Neoplasms,1,2,marker/mechanism,0
3725,MESH:D008113,JUN,Liver Neoplasms,1,2,marker/mechanism,0
3726,MESH:D008175,JUNB,Lung Neoplasms,1,2,marker/mechanism,0
284058,MESH:D019465,KANSL1,Craniofacial Abnormalities,1,2,marker/mechanism,0
3757,MESH:D001145,KCNH2,"Arrhythmias, Cardiac",1,3,marker/mechanism,0
3757,MESH:D001281,KCNH2,Atrial Fibrillation,1,2,marker/mechanism,0
3757,MESH:D008133,KCNH2,Long QT Syndrome,1,19,marker/mechanism,0
