ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
circBase:hsa_circ_0041823,DrugBank:DB00515,hsa_circ_0041823,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0041981,DrugBank:DB00515,hsa_circ_0041981,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042091,DrugBank:DB00515,hsa_circ_0042091,circRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
circBase:hsa_circ_0042328,DrugBank:DB00515,hsa_circ_0042328,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042406,DrugBank:DB00515,hsa_circ_0042406,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042423,DrugBank:DB00515,hsa_circ_0042423,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042477,DrugBank:DB00515,hsa_circ_0042477,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042478,DrugBank:DB00515,hsa_circ_0042478,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042493,DrugBank:DB00515,hsa_circ_0042493,circRNA,Cisplatin,2,2,resistant,Microarray|RNA-seq,High,approved,,
circBase:hsa_circ_0042591,DrugBank:DB00515,hsa_circ_0042591,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042611,DrugBank:DB00515,hsa_circ_0042611,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042770,DrugBank:DB00515,hsa_circ_0042770,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042782,DrugBank:DB00515,hsa_circ_0042782,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042819,DrugBank:DB00619,hsa_circ_0042819,circRNA,Imatinib,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042829,DrugBank:DB00515,hsa_circ_0042829,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042852,DrugBank:DB00515,hsa_circ_0042852,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042865,DrugBank:DB00515,hsa_circ_0042865,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042869,DrugBank:DB00515,hsa_circ_0042869,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042881,DrugBank:DB00515,hsa_circ_0042881,circRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
circBase:hsa_circ_0042905,DrugBank:DB00515,hsa_circ_0042905,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0042955,DrugBank:DB00515,hsa_circ_0042955,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0042986,DrugBank:DB00515,hsa_circ_0042986,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0043158,DrugBank:DB00515,hsa_circ_0043158,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043271,DrugBank:DB00853,hsa_circ_0043271,circRNA,Temozolomide,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043278,DrugBank:DB00515,hsa_circ_0043278,circRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
circBase:hsa_circ_0043298,DrugBank:DB00515,hsa_circ_0043298,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0043354,DrugBank:DB00515,hsa_circ_0043354,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0043409,DrugBank:DB00515,hsa_circ_0043409,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043450,DrugBank:DB00515,hsa_circ_0043450,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043546,DrugBank:DB00515,hsa_circ_0043546,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043574,DrugBank:DB00515,hsa_circ_0043574,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043580,DrugBank:DB00515,hsa_circ_0043580,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043581,DrugBank:DB00515,hsa_circ_0043581,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043587,DrugBank:DB00515,hsa_circ_0043587,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043739,DrugBank:DB01229,hsa_circ_0043739,circRNA,Taxol,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0043837,DrugBank:DB00515,hsa_circ_0043837,circRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
circBase:hsa_circ_0043843,DrugBank:DB01229,hsa_circ_0043843,circRNA,Taxol,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043874,DrugBank:DB00515,hsa_circ_0043874,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0043888,DrugBank:DB00515,hsa_circ_0043888,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043949,DrugBank:DB00853,hsa_circ_0043949,circRNA,Temozolomide,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0043957,DrugBank:DB00515,hsa_circ_0043957,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044088,DrugBank:DB00515,hsa_circ_0044088,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044097,DrugBank:DB00619,hsa_circ_0044097,circRNA,Imatinib,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044168,DrugBank:DB00515,hsa_circ_0044168,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044432,DrugBank:DB00515,hsa_circ_0044432,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044500,DrugBank:DB00515,hsa_circ_0044500,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044556,DrugBank:DB00997,hsa_circ_0044556,circRNA,Doxorubicin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044579,DrugBank:DB00515,hsa_circ_0044579,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044581,DrugBank:DB00515,hsa_circ_0044581,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044590,DrugBank:DB00515,hsa_circ_0044590,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044591,DrugBank:DB00515,hsa_circ_0044591,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044699,DrugBank:DB00515,hsa_circ_0044699,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044838,DrugBank:DB00515,hsa_circ_0044838,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044902,DrugBank:DB00515,hsa_circ_0044902,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0044980,DrugBank:DB00515,hsa_circ_0044980,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0044998,DrugBank:DB00515,hsa_circ_0044998,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045030,DrugBank:DB00515,hsa_circ_0045030,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045035,DrugBank:DB00515,hsa_circ_0045035,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045043,DrugBank:DB00515,hsa_circ_0045043,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045045,DrugBank:DB00515,hsa_circ_0045045,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045059,DrugBank:DB00515,hsa_circ_0045059,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045077,DrugBank:DB00515,hsa_circ_0045077,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045151,DrugBank:DB00515,hsa_circ_0045151,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045159,DrugBank:DB00515,hsa_circ_0045159,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045165,DrugBank:DB00515,hsa_circ_0045165,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045166,DrugBank:DB00515,hsa_circ_0045166,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
