ncrnaId,phenotypeId,ncrnaName,ncrnaType,phenotypeName,drugCount,pmidCount,effects,levels,targetGenes,pathways
ENSEMBL:ENSG00000246763,PHENO:Pancreatic Cancer,RGMB-AS1,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000246851,PHENO:Hypopharyngeal Cancer,ENST00000502188,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000246859,PHENO:Non-Small Cell Lung Cancer,STARD4-AS1,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000246898,PHENO:Lung Adenocarcinoma,LINC00920,lncRNA,Lung Adenocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000246985,PHENO:Glioblastoma,SOCS2-AS1,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247011,PHENO:Hypopharyngeal Cancer,NONHSAT054736,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247049,PHENO:Hypopharyngeal Cancer,ENST00000499096,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247081,PHENO:Cholangiocarcinoma,BAALC-AS1,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247081,PHENO:Hypopharyngeal Cancer,ENST00000523915,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247092,PHENO:Breast Cancer,SNHG10,lncRNA,Breast Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247092,PHENO:Glioblastoma,SNHG10,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000247092,PHENO:osteosarcoma,SNHG10,lncRNA,osteosarcoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247095,PHENO:Pancreatic Cancer,MIR210HG,lncRNA,Pancreatic Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247134,PHENO:Glioblastoma,RP11-11N9.4,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247134,PHENO:Hypopharyngeal Cancer,lnc-NRG1-2,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247157,PHENO:Glioblastoma,LOC338817,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247157,PHENO:Hypopharyngeal Cancer,ENST00000541162,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247228,PHENO:Pancreatic Cancer,ENST00000502126,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247317,PHENO:Gastric Cancer,LY6E-DT,lncRNA,Gastric Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000247317,PHENO:Glioblastoma,LOC100133669,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247317,PHENO:Hepatocellular Carcinoma,LY6E-DT,lncRNA,Hepatocellular Carcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000247400,PHENO:Hypopharyngeal Squamous Cell Carcinoma,ENSG00000247400,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247498,PHENO:Glioblastoma,RP11-392P7.6,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000247556,PHENO:Glioblastoma,OIP5-AS1,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247556,PHENO:Ovarian Cancer,OIP5-AS1,lncRNA,Ovarian Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000247572,PHENO:Gastric Cancer,CKMT2-AS1,lncRNA,Gastric Cancer,2,1,resistant,High,,
ENSEMBL:ENSG00000247572,PHENO:Hypopharyngeal Cancer,NR_034123,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247675,PHENO:Hypopharyngeal Cancer,NR_038909,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247774,PHENO:Lung Adenocarcinoma,PCED1B-AS1,lncRNA,Lung Adenocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000247796,PHENO:Hypopharyngeal Cancer,NR_104654,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247809,PHENO:Hypopharyngeal Cancer,NR2F2-AS1,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247809,PHENO:Non-Small Cell Lung Cancer,NR2F2-AS1,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000247828,PHENO:Endometrial Cancer,TMEM161B-AS1,lncRNA,Endometrial Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000247828,PHENO:Hypopharyngeal Cancer,ENST00000496733,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248008,PHENO:Cholangiocarcinoma,DYNLL1-AS1,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248008,PHENO:Ovarian Cancer,NRAV,lncRNA,Ovarian Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000248049,PHENO:pancreatic cancer,UBA6-AS1,lncRNA,pancreatic cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248050,PHENO:Cholangiocarcinoma,AC079061.1,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248092,PHENO:Hypopharyngeal Squamous Cell Carcinoma,ENSG00000248092,lncRNA,Hypopharyngeal Squamous Cell Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248112,PHENO:Non-Small Cell Lung Cancer,RP11-78C3.1,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248175,PHENO:Hypopharyngeal Cancer,lnc-PGGT1B-1,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248202,PHENO:Hypopharyngeal Cancer,ENST00000513288,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248208,PHENO:Hepatocellular Carcinoma,ENST00000502774,lncRNA,Hepatocellular Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248223,PHENO:Non-Small Cell Lung Cancer,CTD-2139B15.2,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
