drugId,phenotypeId,drugName,phenotypeName,ncrnaCount,pmidCount,effects,levels,fda
DrugBank:DB00526,PHENO:Esophageal Squamous Cell Carcinoma,Oxaliplatin,Esophageal Squamous Cell Carcinoma,12,1,resistant|sensitive,High,approved
DrugBank:DB00526,PHENO:Gastric Cancer,Oxaliplatin,Gastric Cancer,427,1,resistant|sensitive,High,approved
DrugBank:DB00526,PHENO:Hepatocellular Carcinoma,Oxaliplatin,Hepatocellular Carcinoma,121,2,resistant|sensitive,High,approved
DrugBank:DB00530,PHENO:Epithelial Cancer,Erlotinib,Epithelial Cancer,13,1,resistant|sensitive,High,approved
DrugBank:DB00530,PHENO:Head And Neck Squamous Cell Carcinoma,Erlotinib,Head And Neck Squamous Cell Carcinoma,20,1,resistant|sensitive,High,approved
DrugBank:DB00530,PHENO:Non-Small Cell Lung Cancer,Erlotinib,Non-Small Cell Lung Cancer,59,4,resistant|sensitive,High,approved
DrugBank:DB00531,PHENO:Breast Cancer,Cyclophosphamide,Breast Cancer,33,1,resistant|sensitive,High,approved
DrugBank:DB00531,PHENO:Diffuse Large B-Cell Lymphoma,Cyclophosphamide,Diffuse Large B-Cell Lymphoma,17,1,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Colon Cancer,Vincristine,Colon Cancer,20,1,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Colorectal Cancer,Vincristine,Colorectal Cancer,70,2,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Diffuse Large B-Cell Lymphoma,Vincristine,Diffuse Large B-Cell Lymphoma,23,2,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Gastric Cancer,Vincristine,Gastric Cancer,32,2,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Hepatocellular Carcinoma,Vincristine,Hepatocellular Carcinoma,25,1,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Laryngeal Cancer,Vincristine,Laryngeal Cancer,7,1,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:Lymphoblastic Leukemia,Vincristine,Lymphoblastic Leukemia,16,1,resistant|sensitive,High,approved
DrugBank:DB00541,PHENO:colon cancer,Vincristine,colon cancer,42,1,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Breast Cancer,Fluorouracil,Breast Cancer,33,1,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Colon Cancer,Fluorouracil,Colon Cancer,26,1,resistant,High,approved
DrugBank:DB00544,PHENO:Colorectal Cancer,Fluorouracil,Colorectal Cancer,165,6,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Esophageal Adenocarcinoma,Fluorouracil,Esophageal Adenocarcinoma,17,1,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Esophageal Cancer,Fluorouracil,Esophageal Cancer,3,1,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Esophageal Squamous Cell Carcinoma,Fluorouracil,Esophageal Squamous Cell Carcinoma,29,3,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Gastric Cancer,Fluorouracil,Gastric Cancer,542,5,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Hepatocellular Carcinoma,Fluorouracil,Hepatocellular Carcinoma,1,1,sensitive,High,approved
DrugBank:DB00544,PHENO:Laryngeal Cancer,Fluorouracil,Laryngeal Cancer,7,1,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Pancreatic Cancer,Fluorouracil,Pancreatic Cancer,278,2,resistant|sensitive,High,approved
DrugBank:DB00544,PHENO:Rectal Cancer,Fluorouracil,Rectal Cancer,4,1,resistant|sensitive,High,approved
DrugBank:DB00563,PHENO:Breast Cancer,Methotrexate,Breast Cancer,33,1,resistant|sensitive,High,approved
DrugBank:DB00563,PHENO:Colon Cancer,Methotrexate,Colon Cancer,10,1,resistant|sensitive,High,approved
DrugBank:DB00563,PHENO:Colorectal Adenocarcinoma,Methotrexate,Colorectal Adenocarcinoma,42,1,resistant|sensitive,High,approved
DrugBank:DB00563,PHENO:Colorectal Cancer,Methotrexate,Colorectal Cancer,24,2,resistant|sensitive,High,approved
DrugBank:DB00563,PHENO:Osteosarcoma,Methotrexate,Osteosarcoma,47,2,resistant|sensitive,High,approved
DrugBank:DB00619,PHENO:Chronic Myelogenous Leukemia,Imatinib,Chronic Myelogenous Leukemia,233,5,resistant|sensitive,High,approved
DrugBank:DB00619,PHENO:Chronic Myeloid Leukemia,Imatinib,Chronic Myeloid Leukemia,4,1,sensitive,High,approved
DrugBank:DB00619,PHENO:Gastrointestinal Stromal Tumor,Imatinib,Gastrointestinal Stromal Tumor,152,3,resistant|sensitive,High,approved
DrugBank:DB00619,PHENO:Myelogenous Leukemia,Imatinib,Myelogenous Leukemia,28,1,resistant|sensitive,High,approved
DrugBank:DB00619,PHENO:Primary Gastrointestinal Stromal Tumor,Imatinib,Primary Gastrointestinal Stromal Tumor,10,1,resistant|sensitive,High,approved
DrugBank:DB00642,PHENO:Gastric Cancer,Pemetrexed,Gastric Cancer,43,1,resistant|sensitive,High,approved
DrugBank:DB00661,PHENO:Breast Cancer,Verapamil,Breast Cancer,179,1,resistant|sensitive,High,approved
DrugBank:DB00675,PHENO:Breast Cancer,Tamoxifen,Breast Cancer,322,13,resistant|sensitive,High,approved
DrugBank:DB00694,PHENO:Acute Myeloid Leukemia,Daunorubicin,Acute Myeloid Leukemia,1,1,sensitive,High,approved
DrugBank:DB00694,PHENO:Acute Promyelocytic Leukemia,Daunorubicin,Acute Promyelocytic Leukemia,29,1,resistant|sensitive,High,approved
DrugBank:DB00694,PHENO:Breast Cancer,Anthracycline,Breast Cancer,34,2,resistant|sensitive,High,approved
DrugBank:DB00694,PHENO:Lymphoblastic Leukemia,Daunorubicin,Lymphoblastic Leukemia,16,1,resistant|sensitive,High,approved
DrugBank:DB00715,PHENO:Normal,Paroxetine,Normal,37,1,resistant|sensitive,High,approved
DrugBank:DB00773,PHENO:Breast Cancer,Etoposide,Breast Cancer,41,2,resistant|sensitive,High,approved
DrugBank:DB00773,PHENO:Colorectal Cancer,Etoposide,Colorectal Cancer,55,1,resistant|sensitive,High,approved
DrugBank:DB00773,PHENO:Osteosarcoma,Etoposide,Osteosarcoma,1,1,resistant,High,approved
DrugBank:DB00773,PHENO:Small Cell Lung Cancer,Etoposide,Small Cell Lung Cancer,8,1,resistant|sensitive,High,approved
DrugBank:DB00811,PHENO:Chronic Hepatitis C,Ribavirin,Chronic Hepatitis C,8,1,resistant|sensitive,High,approved
DrugBank:DB00853,PHENO:Glioblastoma,Temozolomide,Glioblastoma,464,6,resistant|sensitive,High,approved
DrugBank:DB00853,PHENO:Glioma,Temozolomide,Glioma,80,2,resistant|sensitive,High,approved
DrugBank:DB00860,PHENO:Lymphoblastic Leukemia,Prednisolone,Lymphoblastic Leukemia,16,1,resistant|sensitive,High,approved
