drugId,diseaseId,max_phase,labels,statuses
CHEMBL1201780,HP_0001987,4.0,Hyperammonemia,
CHEMBL1201782,EFO_0006911,4.0,Chemotherapy-induced nausea and vomiting,Completed
CHEMBL1201782,HP_0002017,4.0,Nausea and vomiting,
CHEMBL1201782,MONDO_0004992,4.0,cancer,
CHEMBL1201821,EFO_1001898,4.0,mucositis,
CHEMBL1201823,EFO_0000540,4.0,immune system disease,
CHEMBL1201823,EFO_0000685,4.0,rheumatoid arthritis,Completed | Recruiting | Withdrawn | Terminated | Unknown status
CHEMBL1201823,EFO_0002609,4.0,juvenile idiopathic arthritis,
CHEMBL1201823,EFO_0003778,4.0,psoriatic arthritis,Recruiting
CHEMBL1201825,EFO_0003770,4.0,diabetic retinopathy,Completed
CHEMBL1201825,EFO_0004683,4.0,wet macular degeneration,Completed | Unknown status | Withdrawn
CHEMBL1201825,EFO_0005753,4.0,ocular vascular disease,
CHEMBL1201825,EFO_0010977,4.0,macrovascular complications of diabetes,
CHEMBL1201825,HP_0000545,4.0,Myopia,
CHEMBL1201825,MONDO_0003005,4.0,macular retinal edema,Completed | Terminated | Unknown status
CHEMBL1201825,MONDO_0810000,4.0,choroidal neovascularization,Completed
CHEMBL1201827,EFO_0000365,4.0,colorectal adenocarcinoma,
CHEMBL1201827,EFO_0000616,4.0,neoplasm,
CHEMBL1201827,EFO_0004142,4.0,colorectal neoplasm,
CHEMBL1201827,MONDO_0004992,4.0,cancer,Unknown status
CHEMBL1201828,MONDO_0016244,4.0,atypical hemolytic-uremic syndrome,Completed
CHEMBL1201828,MONDO_0100244,4.0,paroxysmal nocturnal hemoglobinuria,Completed
CHEMBL1201830,EFO_0000540,4.0,immune system disease,
CHEMBL1201830,EFO_0007427,4.0,pericarditis,
CHEMBL1201830,MONDO_0008633,4.0,Muckle-Wells syndrome,
CHEMBL1201830,MONDO_0016168,4.0,cryopyrin-associated periodic syndrome,
CHEMBL1201830,Orphanet_47045,4.0,Familial cold urticaria,
CHEMBL1201831,EFO_0000384,4.0,Crohn's disease,Terminated | Unknown status
CHEMBL1201831,EFO_0000540,4.0,immune system disease,
CHEMBL1201831,EFO_0000685,4.0,rheumatoid arthritis,Completed | Terminated | Unknown status
CHEMBL1201831,EFO_0003778,4.0,psoriatic arthritis,
CHEMBL1201831,EFO_0003898,4.0,ankylosing spondylitis,
CHEMBL1201831,MP_0001845,4.0,inflammation,
CHEMBL1201832,EFO_0007160,4.0,autoimmune thrombocytopenic purpura,Recruiting | Completed
CHEMBL1201832,HP_0001873,4.0,Thrombocytopenia,
CHEMBL1201832,MP_0001914,4.0,hemorrhage,
CHEMBL1201833,EFO_0000540,4.0,immune system disease,
CHEMBL1201833,EFO_0000685,4.0,rheumatoid arthritis,"Completed | Unknown status | Active, not recruiting | Recruiting | Terminated"
CHEMBL1201833,EFO_0000729,4.0,ulcerative colitis,Not yet recruiting | Recruiting | Unknown status | Completed
CHEMBL1201833,EFO_0003778,4.0,psoriatic arthritis,Completed | Recruiting
CHEMBL1201833,EFO_0003898,4.0,ankylosing spondylitis,Completed | Not yet recruiting
CHEMBL1201833,MONDO_0003937,4.0,spondylitis,
CHEMBL1201834,EFO_0000540,4.0,immune system disease,
CHEMBL1201834,EFO_0002609,4.0,juvenile idiopathic arthritis,
CHEMBL1201834,EFO_0004274,4.0,gout,
CHEMBL1201834,MONDO_0008633,4.0,Muckle-Wells syndrome,
CHEMBL1201834,MONDO_0016168,4.0,cryopyrin-associated periodic syndrome,
CHEMBL1201836,EFO_0000095,4.0,chronic lymphocytic leukemia,
CHEMBL1201836,EFO_0000616,4.0,neoplasm,
CHEMBL1201836,EFO_0003929,4.0,relapsing-remitting multiple sclerosis,Recruiting
CHEMBL1201836,MONDO_0005301,4.0,multiple sclerosis,"Active, not recruiting | Terminated | Completed"
CHEMBL1201837,MONDO_0019623,4.0,hereditary angioedema,
CHEMBL1201891,MONDO_0010679,4.0,Duchenne muscular dystrophy,
CHEMBL1206,MONDO_0005180,4.0,Parkinson disease,
CHEMBL1206690,EFO_0005755,4.0,rheumatic disease,
CHEMBL1206690,HP_0012531,4.0,Pain,Completed | Terminated | Withdrawn
CHEMBL121,EFO_0000400,4.0,diabetes mellitus,Completed
CHEMBL121,MONDO_0005148,4.0,type 2 diabetes mellitus,Suspended | Terminated | Completed
CHEMBL1213351,HP_0012531,4.0,Pain,
CHEMBL122,EFO_0005755,4.0,rheumatic disease,
CHEMBL1224,MONDO_0005271,4.0,allergic disease,
CHEMBL1229517,EFO_0000616,4.0,neoplasm,Completed
CHEMBL1229517,EFO_0000756,4.0,melanoma,Completed
CHEMBL1229517,EFO_0002617,4.0,metastatic melanoma,Terminated
CHEMBL1231,EFO_0006865,4.0,urgency urinary incontinence,
CHEMBL1231,EFO_1000781,4.0,overactive bladder,Completed | Unknown status
CHEMBL1231,HP_0000020,4.0,Urinary incontinence,Completed | Terminated
CHEMBL1231,HP_0000103,4.0,Polyuria,
CHEMBL1237022,EFO_0000540,4.0,immune system disease,
CHEMBL1237022,EFO_0000685,4.0,rheumatoid arthritis,Completed | Recruiting | Terminated | Withdrawn | Unknown status
CHEMBL1237022,EFO_0000717,4.0,systemic scleroderma,
CHEMBL1237022,EFO_0002609,4.0,juvenile idiopathic arthritis,Completed
CHEMBL1237022,EFO_1001209,4.0,temporal arteritis,Completed | Unknown status
CHEMBL1237022,MONDO_0100096,4.0,COVID-19,Completed | Withdrawn
CHEMBL1237023,EFO_0003854,4.0,postmenopausal osteoporosis,"Recruiting | Active, not recruiting | Completed"
CHEMBL1237023,EFO_0003882,4.0,osteoporosis,"Active, not recruiting | Unknown status | Completed | Not yet recruiting | Recruiting"
CHEMBL1237023,EFO_0004260,4.0,bone disease,Completed
CHEMBL1237023,MONDO_0002171,4.0,giant cell tumor,Completed | Recruiting
CHEMBL1237023,MONDO_0007254,4.0,breast cancer,
CHEMBL1237024,EFO_0000616,4.0,neoplasm,
CHEMBL1237024,MONDO_0008315,4.0,prostate cancer,
CHEMBL1237044,HP_0012531,4.0,Pain,Not yet recruiting | Unknown status | Completed | Recruiting | Terminated
CHEMBL1237055,EFO_0003890,4.0,drug dependence,
CHEMBL1237055,HP_0012531,4.0,Pain,Completed
CHEMBL1237061,EFO_0004911,4.0,familial hypercholesterolemia,
CHEMBL1237061,HP_0003119,4.0,Abnormal circulating lipid concentration,
CHEMBL1237061,HP_0003124,4.0,Hypercholesterolemia,
CHEMBL1237061,MONDO_0021187,4.0,hyperlipidemia,
CHEMBL1237065,EFO_0003890,4.0,drug dependence,
CHEMBL1237065,HP_0012531,4.0,Pain,Completed | Unknown status
CHEMBL1237065,HP_0012532,4.0,Chronic pain,
CHEMBL1237080,EFO_0006911,4.0,Chemotherapy-induced nausea and vomiting,Unknown status
CHEMBL1237080,HP_0002017,4.0,Nausea and vomiting,
CHEMBL1237080,HP_0002018,4.0,Nausea,
CHEMBL1237080,MONDO_0004992,4.0,cancer,
CHEMBL1237104,HP_0012531,4.0,Pain,
CHEMBL1237119,EFO_0001361,4.0,pulmonary arterial hypertension,Recruiting | Terminated | Withdrawn | Completed
CHEMBL1237119,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1237119,MONDO_0005149,4.0,pulmonary hypertension,Completed | Recruiting
CHEMBL1240,MONDO_0004247,4.0,peptic ulcer disease,
CHEMBL1241,HP_0000989,4.0,Pruritus,
CHEMBL1241,MONDO_0005271,4.0,allergic disease,
CHEMBL1252,EFO_0000616,4.0,neoplasm,
CHEMBL1256696,EFO_0007486,4.0,sinusitis,
CHEMBL1256786,HP_0006536,4.0,Airway obstruction,
CHEMBL1256818,EFO_0007214,4.0,common cold,
CHEMBL1256818,EFO_0007486,4.0,sinusitis,Completed
CHEMBL1256818,HP_0001742,4.0,Nasal congestion,
CHEMBL1256818,HP_0001945,4.0,Fever,
CHEMBL1256818,HP_0002315,4.0,Headache,
CHEMBL1256818,HP_0012735,4.0,Cough,Terminated
CHEMBL1257040,EFO_0000677,4.0,mental or behavioural disorder,
CHEMBL1257040,EFO_0006788,4.0,anxiety disorder,
CHEMBL1257040,MONDO_0005090,4.0,schizophrenia,
CHEMBL1263,HP_0006536,4.0,Airway obstruction,
CHEMBL1269025,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL12713,EFO_0005407,4.0,psychosis,
CHEMBL1274,EFO_0000616,4.0,neoplasm,
CHEMBL1274,MONDO_0008315,4.0,prostate cancer,
CHEMBL1276308,EFO_0003099,4.0,Cushing syndrome,Completed
CHEMBL1278,MONDO_0005277,4.0,migraine disorder,
CHEMBL1279,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL128,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL1282,EFO_0002496,4.0,actinic keratosis,Completed | Terminated | Unknown status
CHEMBL1282,EFO_0004193,4.0,basal cell carcinoma,Completed | Unknown status
CHEMBL1282,EFO_0007147,4.0,anogenital venereal wart,Completed
CHEMBL1282,EFO_1000720,4.0,keratosis,Completed
CHEMBL12856,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1286,EFO_0000474,4.0,epilepsy,Completed | Unknown status
CHEMBL1286,HP_0001250,4.0,Seizure,Unknown status
CHEMBL1286,HP_0002069,4.0,Bilateral tonic-clonic seizure,Completed
CHEMBL1287853,EFO_0000616,4.0,neoplasm,
CHEMBL1290,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1291,MONDO_0005041,4.0,glaucoma,
CHEMBL13,EFO_0000319,4.0,cardiovascular disease,
CHEMBL131,EFO_0000274,4.0,atopic eczema,Completed
CHEMBL131,EFO_0000384,4.0,Crohn's disease,Terminated | Unknown status | Completed
CHEMBL131,EFO_0000398,4.0,dermatomyositis,
CHEMBL131,EFO_0000565,4.0,leukemia,
CHEMBL131,EFO_0000574,4.0,lymphoma,Completed
CHEMBL131,EFO_0000676,4.0,psoriasis,
CHEMBL131,EFO_0000685,4.0,rheumatoid arthritis,Completed | Unknown status
CHEMBL131,EFO_0000729,4.0,ulcerative colitis,Completed
CHEMBL131,EFO_0002609,4.0,juvenile idiopathic arthritis,Completed
CHEMBL131,EFO_0003106,4.0,pneumonia,
CHEMBL131,EFO_0003778,4.0,psoriatic arthritis,
CHEMBL131,EFO_0003898,4.0,ankylosing spondylitis,
CHEMBL131,EFO_0004255,4.0,nephrotic syndrome,Completed | Unknown status
CHEMBL131,EFO_0004274,4.0,gout,Recruiting
CHEMBL131,EFO_0005319,4.0,contact dermatitis,
CHEMBL131,EFO_0005558,4.0,hemolytic anemia,
CHEMBL131,EFO_0005752,4.0,eye inflammation,
CHEMBL131,EFO_0005854,4.0,allergic rhinitis,
CHEMBL131,EFO_0007141,4.0,allergic conjunctivitis,
CHEMBL131,EFO_0007257,4.0,eosinophilic pneumonia,Completed
CHEMBL131,EFO_0007403,4.0,ophthalmic herpes zoster,
CHEMBL131,EFO_0007405,4.0,optic neuritis,
CHEMBL131,EFO_0007520,4.0,trichinosis,
CHEMBL131,EFO_0008997,4.0,synovitis,
CHEMBL131,EFO_0009449,4.0,keratitis,
CHEMBL131,EFO_0009456,4.0,exfoliative dermatitis,
CHEMBL131,EFO_0009552,4.0,hemorrhoid,
CHEMBL131,EFO_0009609,4.0,myocarditis,
CHEMBL131,EFO_1000039,4.0,meningeal tuberculosis,
CHEMBL131,EFO_1000049,4.0,pulmonary tuberculosis,
CHEMBL131,EFO_1000684,4.0,dermatitis herpetiformis,
CHEMBL131,EFO_1000694,4.0,erythema multiforme,
CHEMBL131,EFO_1000764,4.0,seborrheic dermatitis,
CHEMBL131,EFO_1000941,4.0,frozen shoulder,
CHEMBL131,EFO_1000997,4.0,iritis,
CHEMBL131,EFO_1001051,4.0,mycosis fungoides,
CHEMBL131,EFO_1001119,4.0,posterior uveitis,
CHEMBL131,EFO_1001194,4.0,subacute thyroiditis,
CHEMBL131,EFO_1001205,4.0,sympathetic ophthalmia,
CHEMBL131,EFO_1001222,4.0,type III hypersensitivity reaction disease,
CHEMBL131,EFO_1001435,4.0,tenosynovitis,
CHEMBL131,EFO_1001896,4.0,lateral epicondylitis,
CHEMBL131,HP_0001094,4.0,Iridocyclitis,
CHEMBL131,HP_0001742,4.0,Nasal congestion,
CHEMBL131,HP_0001873,4.0,Thrombocytopenia,
CHEMBL131,HP_0001915,4.0,Aplastic anemia,
CHEMBL131,HP_0003072,4.0,Hypercalcemia,
CHEMBL131,HP_0004398,4.0,Peptic ulcer,
CHEMBL131,HP_0012424,4.0,Chorioretinitis,
CHEMBL131,MONDO_0001280,4.0,choroiditis,
CHEMBL131,MONDO_0004979,4.0,asthma,"Active, not recruiting | Completed"
CHEMBL131,MONDO_0005178,4.0,osteoarthritis,
CHEMBL131,MONDO_0005301,4.0,multiple sclerosis,
CHEMBL131,MONDO_0007915,4.0,systemic lupus erythematosus,
CHEMBL131,MONDO_0008728,4.0,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency,
CHEMBL131,MONDO_0015128,4.0,primary adrenal insufficiency,
CHEMBL131,MONDO_0019338,4.0,sarcoidosis,"Active, not recruiting | Completed"
CHEMBL1315867,EFO_0009661,4.0,bronchitis,
CHEMBL1315867,MONDO_0004979,4.0,asthma,
CHEMBL1324,MONDO_0005180,4.0,Parkinson disease,Completed
CHEMBL1337,MONDO_0004741,4.0,tyrosinemia,
CHEMBL1339,EFO_0004234,4.0,erectile dysfunction,Completed
CHEMBL1339,HP_0000802,4.0,Impotence,
CHEMBL1346,HP_0000020,4.0,Urinary incontinence,Completed
CHEMBL1346,HP_0000103,4.0,Polyuria,
CHEMBL135,EFO_0003854,4.0,postmenopausal osteoporosis,
CHEMBL135,EFO_0003882,4.0,osteoporosis,
CHEMBL135,EFO_0004266,4.0,primary ovarian insufficiency,
CHEMBL135,EFO_1000096,4.0,Atrophy,
CHEMBL135,EFO_1001271,4.0,Atrophic Vaginitis,Completed
CHEMBL135,GO_0042697,4.0,menopause,"Active, not recruiting | Completed | Recruiting | Terminated | Not yet recruiting | Withdrawn"
CHEMBL135,HP_0008209,4.0,Premature ovarian insufficiency,Completed
CHEMBL135,HP_0030016,4.0,Dyspareunia,Completed
CHEMBL135,MONDO_0001410,4.0,postmenopausal atrophic vaginitis,
CHEMBL135,MONDO_0002146,4.0,hypogonadism,
CHEMBL135,MONDO_0007254,4.0,breast cancer,Recruiting
CHEMBL1358,EFO_0000305,4.0,breast carcinoma,
CHEMBL1358,EFO_0000616,4.0,neoplasm,
CHEMBL1358,EFO_0003869,4.0,breast neoplasm,Terminated
CHEMBL1358,MONDO_0007254,4.0,breast cancer,Completed | Not yet recruiting | Recruiting | Terminated
CHEMBL1364144,EFO_0000565,4.0,leukemia,
CHEMBL1364144,EFO_0000574,4.0,lymphoma,
CHEMBL1364144,EFO_0000685,4.0,rheumatoid arthritis,Completed | Unknown status
CHEMBL1364144,EFO_0003833,4.0,brain neoplasm,
CHEMBL1364144,EFO_0004255,4.0,nephrotic syndrome,
CHEMBL1364144,EFO_1000941,4.0,frozen shoulder,
CHEMBL1364144,EFO_1001222,4.0,type III hypersensitivity reaction disease,
CHEMBL1364144,EFO_1001231,4.0,uveitis,
CHEMBL1364144,MONDO_0002041,4.0,fungal infectious disease,
CHEMBL1364144,MONDO_0002280,4.0,anemia,
CHEMBL1364144,MONDO_0002406,4.0,dermatitis,
CHEMBL1364144,MONDO_0004979,4.0,asthma,
CHEMBL1364144,MONDO_0005178,4.0,osteoarthritis,Recruiting | Terminated
CHEMBL1370,EFO_0000341,4.0,chronic obstructive pulmonary disease,Completed | Not yet recruiting | Terminated | Unknown status | Withdrawn
CHEMBL1370,EFO_0000384,4.0,Crohn's disease,Completed
CHEMBL1370,EFO_0000464,4.0,emphysema,
CHEMBL1370,EFO_0000729,4.0,ulcerative colitis,Not yet recruiting | Recruiting
CHEMBL1370,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1370,EFO_0005854,4.0,allergic rhinitis,Recruiting | Completed
CHEMBL1370,EFO_0006505,4.0,chronic bronchitis,
CHEMBL1370,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",Completed
CHEMBL1370,HP_0001742,4.0,Nasal congestion,
CHEMBL1370,HP_0006536,4.0,Airway obstruction,
CHEMBL1370,MONDO_0004979,4.0,asthma,Unknown status | Withdrawn | Completed | Recruiting | Terminated
CHEMBL1371200,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1373,EFO_0003888,4.0,attention deficit hyperactivity disorder,
CHEMBL1373,EFO_0003918,4.0,obstructive sleep apnea,Terminated | Completed
CHEMBL1373,MONDO_0016158,4.0,narcolepsy-cataplexy syndrome,
CHEMBL1375743,EFO_0005306,4.0,ventricular tachycardia,
CHEMBL1375743,EFO_0009963,4.0,bipolar I disorder,
CHEMBL1375743,HP_0000713,4.0,Agitation,
CHEMBL1375743,MONDO_0004985,4.0,bipolar disorder,Completed | Terminated
CHEMBL1375743,MONDO_0005090,4.0,schizophrenia,
CHEMBL1382,HP_0000020,4.0,Urinary incontinence,Completed | Terminated | Unknown status
CHEMBL1382,HP_0000103,4.0,Polyuria,
CHEMBL13828,MONDO_0005271,4.0,allergic disease,
CHEMBL1389,HP_0000132,4.0,Menorrhagia,Completed
CHEMBL1393,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1393,EFO_0000373,4.0,congestive heart failure,
CHEMBL1393,EFO_0000537,4.0,hypertension,Completed | Recruiting | Unknown status
CHEMBL1393,EFO_0000612,4.0,myocardial infarction,
CHEMBL1393,EFO_0000668,4.0,preeclampsia,
CHEMBL1393,EFO_0001422,4.0,cirrhosis of liver,
CHEMBL1393,EFO_0003144,4.0,heart failure,"Active, not recruiting | Completed | Withdrawn"
CHEMBL1393,EFO_0004255,4.0,nephrotic syndrome,
CHEMBL1395,EFO_1001078,4.0,orchitis,
CHEMBL1395,MONDO_0002146,4.0,hypogonadism,
CHEMBL1395,MONDO_0007254,4.0,breast cancer,
CHEMBL1399,EFO_0000305,4.0,breast carcinoma,
CHEMBL1399,EFO_0000616,4.0,neoplasm,
CHEMBL1399,EFO_0003869,4.0,breast neoplasm,Terminated
CHEMBL1399,MONDO_0007254,4.0,breast cancer,Completed | Unknown status
CHEMBL14,HP_0000616,4.0,Miosis,
CHEMBL14,MONDO_0005041,4.0,glaucoma,
CHEMBL1404,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1404,EFO_0003913,4.0,angina pectoris,Completed | Unknown status
CHEMBL1409,EFO_0004242,4.0,obsessive-compulsive disorder,Unknown status | Completed | Terminated
CHEMBL1411979,MONDO_0005271,4.0,allergic disease,
CHEMBL1417019,MONDO_0005301,4.0,multiple sclerosis,
CHEMBL1417019,MONDO_0008315,4.0,prostate cancer,
CHEMBL1421,EFO_0000220,4.0,acute lymphoblastic leukemia,Unknown status
CHEMBL1421,EFO_0000339,4.0,chronic myelogenous leukemia,Completed | Recruiting | Unknown status
CHEMBL1421,EFO_0000616,4.0,neoplasm,
CHEMBL1421,EFO_0004289,4.0,lymphoid leukemia,
CHEMBL1421,EFO_1000131,4.0,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",
CHEMBL1422,EFO_0000400,4.0,diabetes mellitus,Completed | Not yet recruiting | Terminated
CHEMBL1423,EFO_0004895,4.0,Tourette syndrome,
CHEMBL1423,EFO_0005407,4.0,psychosis,
CHEMBL1423,HP_0100033,4.0,Tics,
CHEMBL142703,EFO_0000400,4.0,diabetes mellitus,Completed
CHEMBL142703,MONDO_0005148,4.0,type 2 diabetes mellitus,Completed | Recruiting | Terminated | Unknown status
CHEMBL1428,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1431,EFO_0000400,4.0,diabetes mellitus,Completed | Not yet recruiting | Recruiting | Terminated | Unknown status
CHEMBL14370,MONDO_0002050,4.0,depressive disorder,Unknown status
CHEMBL14376,EFO_0005407,4.0,psychosis,
CHEMBL14376,MONDO_0005090,4.0,schizophrenia,Completed | Terminated
CHEMBL1441059,EFO_0000341,4.0,chronic obstructive pulmonary disease,Completed
CHEMBL1441059,MONDO_0004979,4.0,asthma,"Active, not recruiting | Completed"
CHEMBL1444,EFO_0000305,4.0,breast carcinoma,
CHEMBL1444,EFO_0000616,4.0,neoplasm,
CHEMBL1444,EFO_0003869,4.0,breast neoplasm,"Active, not recruiting | Recruiting | Terminated"
CHEMBL1444,MONDO_0007254,4.0,breast cancer,Unknown status | Completed | Recruiting | Terminated
CHEMBL1445,EFO_0000616,4.0,neoplasm,
CHEMBL1445,EFO_1001078,4.0,orchitis,
CHEMBL1445,MONDO_0002146,4.0,hypogonadism,
CHEMBL1448187,EFO_0000677,4.0,mental or behavioural disorder,
CHEMBL1451,EFO_0000701,4.0,skin disease,
CHEMBL1451,EFO_0005752,4.0,eye inflammation,
CHEMBL1451,EFO_0009552,4.0,hemorrhoid,
CHEMBL1451,HP_0001742,4.0,Nasal congestion,
CHEMBL1451,HP_0006536,4.0,Airway obstruction,
CHEMBL1463345,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1464,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1464,MONDO_0000831,4.0,thrombotic disease,Recruiting
CHEMBL1465,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1466,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1467,EFO_0000565,4.0,leukemia,
CHEMBL1467,EFO_0000574,4.0,lymphoma,
CHEMBL1467,EFO_0004274,4.0,gout,Completed | Enrolling by invitation | Recruiting
CHEMBL1467,MONDO_0004992,4.0,cancer,
CHEMBL1471,EFO_0004888,4.0,post operative nausea and vomiting,Recruiting | Unknown status | Completed | Terminated
CHEMBL1471,EFO_0006911,4.0,Chemotherapy-induced nausea and vomiting,
CHEMBL1471,HP_0002013,4.0,Vomiting,Unknown status
CHEMBL1471,HP_0002017,4.0,Nausea and vomiting,
CHEMBL1471,HP_0002018,4.0,Nausea,Completed
CHEMBL1471,MONDO_0004992,4.0,cancer,Completed
CHEMBL1472989,EFO_0000537,4.0,hypertension,Completed
CHEMBL1473,EFO_0000274,4.0,atopic eczema,Completed
CHEMBL1473,EFO_0000341,4.0,chronic obstructive pulmonary disease,Terminated | Unknown status | Completed
CHEMBL1473,EFO_0000464,4.0,emphysema,Completed
CHEMBL1473,EFO_0000701,4.0,skin disease,Completed
CHEMBL1473,EFO_0003956,4.0,seasonal allergic rhinitis,Completed
CHEMBL1473,EFO_0005854,4.0,allergic rhinitis,Recruiting | Unknown status | Completed | Withdrawn
CHEMBL1473,EFO_0006505,4.0,chronic bronchitis,Completed
CHEMBL1473,HP_0001742,4.0,Nasal congestion,
CHEMBL1473,HP_0006536,4.0,Airway obstruction,
CHEMBL1473,HP_0100582,4.0,Nasal polyposis,
CHEMBL1473,MONDO_0004979,4.0,asthma,Terminated | Withdrawn | Completed | Not yet recruiting
CHEMBL1477,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1479,EFO_0001065,4.0,endometriosis,
CHEMBL1480,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1480,EFO_0000400,4.0,diabetes mellitus,
CHEMBL1480,EFO_0000537,4.0,hypertension,Completed
CHEMBL1487,EFO_0000319,4.0,cardiovascular disease,"Terminated | Unknown status | Active, not recruiting | Completed | Recruiting"
CHEMBL1489,EFO_0000198,4.0,myelodysplastic syndrome,Not yet recruiting | Terminated | Completed
CHEMBL1489,EFO_0000222,4.0,acute myeloid leukemia,Not yet recruiting
CHEMBL1489,EFO_0000616,4.0,neoplasm,
CHEMBL1489,EFO_0003811,4.0,refractory anemia with excess blasts,
CHEMBL1489,EFO_1001779,4.0,chronic myelomonocytic leukemia,
CHEMBL1490,MONDO_0005180,4.0,Parkinson disease,
CHEMBL1492,MONDO_0005271,4.0,allergic disease,
CHEMBL1495,EFO_0010282,4.0,gastrointestinal disease,
CHEMBL1496,EFO_0000319,4.0,cardiovascular disease,"Active, not recruiting | Terminated"
CHEMBL1497,EFO_0000701,4.0,skin disease,
CHEMBL1501,EFO_0000701,4.0,skin disease,
CHEMBL1501,EFO_0009552,4.0,hemorrhoid,
CHEMBL1504,EFO_0000546,4.0,injury,
CHEMBL1504,EFO_0000685,4.0,rheumatoid arthritis,
CHEMBL1504,EFO_0000701,4.0,skin disease,
CHEMBL1504,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1504,EFO_0004274,4.0,gout,Terminated
CHEMBL1504,EFO_0005854,4.0,allergic rhinitis,Completed
CHEMBL1504,EFO_1000049,4.0,pulmonary tuberculosis,
CHEMBL1504,EFO_1001222,4.0,type III hypersensitivity reaction disease,
CHEMBL1504,EFO_1001435,4.0,tenosynovitis,Terminated
CHEMBL1504,EFO_1001887,4.0,epicondylitis,
CHEMBL1504,EFO_1001896,4.0,lateral epicondylitis,Unknown status | Terminated
CHEMBL1504,HP_0001742,4.0,Nasal congestion,Completed
CHEMBL1504,HP_0012531,4.0,Pain,
CHEMBL1504,MONDO_0002041,4.0,fungal infectious disease,
CHEMBL1504,MONDO_0002280,4.0,anemia,
CHEMBL1504,MONDO_0002406,4.0,dermatitis,
CHEMBL1504,MONDO_0002471,4.0,bursitis,
CHEMBL1504,MONDO_0004979,4.0,asthma,
CHEMBL1504,MONDO_0005178,4.0,osteoarthritis,"Active, not recruiting | Completed | Recruiting | Terminated"
CHEMBL1504,MONDO_0005301,4.0,multiple sclerosis,
CHEMBL1508,MONDO_0002009,4.0,major depressive disorder,Completed | Recruiting | Withdrawn | Terminated | Unknown status
CHEMBL1508,MONDO_0002050,4.0,depressive disorder,Completed | Not yet recruiting | Recruiting | Terminated | Unknown status
CHEMBL1509,EFO_0003894,4.0,acne,
CHEMBL1510,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL1511,EFO_0004266,4.0,primary ovarian insufficiency,
CHEMBL1511,EFO_1000096,4.0,Atrophy,
CHEMBL1511,GO_0042697,4.0,menopause,
CHEMBL1511,HP_0008209,4.0,Premature ovarian insufficiency,
CHEMBL1511,MONDO_0002146,4.0,hypogonadism,
CHEMBL1512,EFO_0008521,4.0,rhinitis,
CHEMBL1512,HP_0001742,4.0,Nasal congestion,
CHEMBL1512,HP_0006536,4.0,Airway obstruction,
CHEMBL1512,MONDO_0004979,4.0,asthma,
CHEMBL1513,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1513,EFO_0000401,4.0,diabetic nephropathy,Completed
CHEMBL1513,EFO_0000537,4.0,hypertension,Completed
CHEMBL1513,EFO_0003884,4.0,chronic kidney disease,
CHEMBL1513,MONDO_0005148,4.0,type 2 diabetes mellitus,Completed
CHEMBL1514,EFO_0003890,4.0,drug dependence,
CHEMBL1514,EFO_0005611,4.0,opioid dependence,Completed
CHEMBL1515,EFO_0009189,4.0,hyperthyroidism,
CHEMBL1515,HP_0000820,4.0,Abnormality of the thyroid gland,
CHEMBL1516474,EFO_0000555,4.0,irritable bowel syndrome,
CHEMBL1518,EFO_0009189,4.0,hyperthyroidism,
CHEMBL1518,HP_0000820,4.0,Abnormality of the thyroid gland,
CHEMBL1519,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1519,EFO_0000537,4.0,hypertension,Completed
CHEMBL1519,EFO_0000612,4.0,myocardial infarction,
CHEMBL1519,EFO_0003144,4.0,heart failure,
CHEMBL1520,EFO_0004234,4.0,erectile dysfunction,Completed | Unknown status
CHEMBL1532,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1535,EFO_0001068,4.0,malaria,
CHEMBL1536,EFO_0009451,4.0,hypoparathyroidism,
CHEMBL1542,EFO_0000685,4.0,rheumatoid arthritis,Completed
CHEMBL1551,EFO_0004267,4.0,biliary liver cirrhosis,
CHEMBL1551,EFO_1001486,4.0,primary biliary cirrhosis,Completed | Recruiting
CHEMBL1555,HP_0000726,4.0,Dementia,
