drugId,diseaseId,max_phase,labels,statuses
CHEMBL109,EFO_1000877,4.0,complex partial epilepsy,
CHEMBL109,HP_0001250,4.0,Seizure,
CHEMBL109,HP_0002121,4.0,Generalized non-motor (absence) seizure,
CHEMBL109,MONDO_0004985,4.0,bipolar disorder,Completed | Terminated | Unknown status | Withdrawn
CHEMBL1091,EFO_0000701,4.0,skin disease,
CHEMBL1091,HP_0000989,4.0,Pruritus,
CHEMBL1091,MP_0001845,4.0,inflammation,
CHEMBL1094636,EFO_0000616,4.0,neoplasm,
CHEMBL1094966,HP_0006536,4.0,Airway obstruction,
CHEMBL1095097,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1095097,EFO_0000373,4.0,congestive heart failure,Completed
CHEMBL1095097,EFO_0000537,4.0,hypertension,Completed | Recruiting | Withdrawn
CHEMBL1095097,EFO_0000612,4.0,myocardial infarction,Completed
CHEMBL1095097,EFO_0003144,4.0,heart failure,
CHEMBL1095607,HP_0006536,4.0,Airway obstruction,
CHEMBL1095777,HP_0006536,4.0,Airway obstruction,
CHEMBL1096146,EFO_0003929,4.0,relapsing-remitting multiple sclerosis,
CHEMBL1096146,MONDO_0005301,4.0,multiple sclerosis,
CHEMBL1096885,EFO_0000313,4.0,carcinoma,
CHEMBL1096885,EFO_0000616,4.0,neoplasm,
CHEMBL1097279,EFO_0000612,4.0,myocardial infarction,
CHEMBL1097279,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1098,HP_0012531,4.0,Pain,"Active, not recruiting | Completed | Enrolling by invitation | Not yet recruiting | Terminated | Withdrawn | Recruiting | Suspended | Unknown status"
CHEMBL11,MONDO_0002009,4.0,major depressive disorder,Completed
CHEMBL11,MONDO_0002050,4.0,depressive disorder,Terminated | Completed
CHEMBL1101,MONDO_0005180,4.0,Parkinson disease,
CHEMBL1106,EFO_0005751,4.0,eye allergy,
CHEMBL1106,MONDO_0005271,4.0,allergic disease,
CHEMBL1108,EFO_0004888,4.0,post operative nausea and vomiting,Completed
CHEMBL1108,EFO_0005407,4.0,psychosis,
CHEMBL1108,HP_0002017,4.0,Nausea and vomiting,
CHEMBL111,EFO_0001073,4.0,obesity,Terminated
CHEMBL1110,EFO_0010282,4.0,gastrointestinal disease,
CHEMBL1112,EFO_0003015,4.0,aggressive behavior,
CHEMBL1112,EFO_0003758,4.0,autism,Unknown status | Completed
CHEMBL1112,EFO_0004895,4.0,Tourette syndrome,Completed | Terminated
CHEMBL1112,EFO_0005407,4.0,psychosis,Completed | Terminated | Unknown status
CHEMBL1112,EFO_0005411,4.0,schizoaffective disorder,Completed | Terminated
CHEMBL1112,EFO_0009963,4.0,bipolar I disorder,Unknown status
CHEMBL1112,HP_0000713,4.0,Agitation,
CHEMBL1112,MONDO_0002009,4.0,major depressive disorder,Completed | Terminated | Withdrawn
CHEMBL1112,MONDO_0002050,4.0,depressive disorder,Unknown status | Completed | Terminated
CHEMBL1112,MONDO_0004985,4.0,bipolar disorder,Completed | Terminated
CHEMBL1112,MONDO_0005090,4.0,schizophrenia,"Active, not recruiting | Completed | Not yet recruiting | Recruiting | Terminated | Unknown status | Withdrawn"
CHEMBL1116,EFO_0003854,4.0,postmenopausal osteoporosis,
CHEMBL1116,EFO_0003882,4.0,osteoporosis,
CHEMBL1116,MONDO_0007254,4.0,breast cancer,
CHEMBL1117,EFO_0000616,4.0,neoplasm,
CHEMBL1118,MONDO_0002009,4.0,major depressive disorder,Unknown status | Completed
CHEMBL1118,MONDO_0002050,4.0,depressive disorder,Completed | Unknown status
CHEMBL112,EFO_0005856,4.0,arthritis,
CHEMBL112,EFO_0007214,4.0,common cold,Completed
CHEMBL112,EFO_0007328,4.0,influenza,Completed | Not yet recruiting
CHEMBL112,EFO_0009846,4.0,muscle cramp,
CHEMBL112,EFO_0010072,4.0,toothache,Completed
CHEMBL112,HP_0001945,4.0,Fever,Completed | Terminated | Unknown status
CHEMBL112,HP_0002315,4.0,Headache,Completed | Withdrawn
CHEMBL112,HP_0003418,4.0,Back pain,Terminated
CHEMBL112,HP_0012531,4.0,Pain,"Active, not recruiting | Completed | Enrolling by invitation | Not yet recruiting | Recruiting | Terminated | Unknown status | Withdrawn"
CHEMBL112,HP_0100607,4.0,Dysmenorrhea,Completed | Unknown status
CHEMBL112,MONDO_0002258,4.0,pharyngitis,Completed
CHEMBL112,MONDO_0005277,4.0,migraine disorder,"Active, not recruiting | Completed | Terminated"
CHEMBL1123,EFO_0010282,4.0,gastrointestinal disease,
CHEMBL1133,EFO_0006865,4.0,urgency urinary incontinence,
CHEMBL1133,EFO_1000781,4.0,overactive bladder,Completed
CHEMBL1138,EFO_0000319,4.0,cardiovascular disease,Completed
CHEMBL1138,EFO_0004911,4.0,familial hypercholesterolemia,
CHEMBL1138,HP_0003124,4.0,Hypercholesterolemia,Completed | Unknown status
CHEMBL1138,MONDO_0021187,4.0,hyperlipidemia,Completed
CHEMBL1139,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1144,EFO_0000319,4.0,cardiovascular disease,Completed
CHEMBL1148,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1148,EFO_0000373,4.0,congestive heart failure,Completed | Recruiting
CHEMBL1148,EFO_0000537,4.0,hypertension,Completed | Recruiting
CHEMBL1148,EFO_0003144,4.0,heart failure,Completed | Unknown status | Terminated
