targetId,diseaseId,max_phase,labels,max_score,evidence_count_sum,datatype_ids,datasource_ids
ENSG00000171298,EFO_0000400,4.0,diabetes mellitus,0.7599134970145264,173,literature | known_drug,europepmc | chembl
ENSG00000171298,MONDO_0005148,4.0,type 2 diabetes mellitus,0.845074287231139,286,known_drug | literature,chembl | europepmc
ENSG00000171385,EFO_0000275,4.0,atrial fibrillation,0.857396354801979,99,literature | known_drug | genetic_association,europepmc | chembl | gwas_credible_sets
ENSG00000171408,EFO_0000712,4.0,stroke,0.9015951467912348,6,known_drug,chembl
ENSG00000171408,EFO_0001645,4.0,coronary artery disease,0.912179656213937,9,literature | known_drug,europepmc | chembl
ENSG00000171608,EFO_0000095,4.0,chronic lymphocytic leukemia,0.9550862402482796,584,known_drug | literature,chembl | europepmc
ENSG00000171608,EFO_0000096,4.0,neoplasm of mature B-cells,0.8462424369042584,9,known_drug,chembl
ENSG00000171608,EFO_0000574,4.0,lymphoma,0.789859584554934,387,literature | known_drug,europepmc | chembl
ENSG00000171608,EFO_0000616,4.0,neoplasm,0.9806430116363928,16193,literature | known_drug,europepmc | chembl
ENSG00000171608,EFO_0005952,4.0,non-Hodgkins lymphoma,0.8565053291353019,140,known_drug | literature,chembl | europepmc
ENSG00000171608,MONDO_0018906,4.0,follicular lymphoma,0.9337136733729018,107,literature | known_drug,europepmc | chembl
ENSG00000171720,EFO_0000616,4.0,neoplasm,0.9316289073562948,302,literature | known_drug,europepmc | chembl
ENSG00000171720,EFO_0002913,4.0,Cutaneous T-cell lymphoma,0.8328035808039862,26,known_drug | literature,chembl | europepmc
ENSG00000171720,MONDO_0015760,4.0,T-cell non-Hodgkin lymphoma,0.8274613634158176,5,literature | known_drug,europepmc | chembl
ENSG00000171759,MONDO_0009861,4.0,phenylketonuria,0.9972237921540644,2687,literature | animal_model | affected_pathway | genetic_literature | genetic_association | known_drug,europepmc | impc | reactome | uniprot_literature | uniprot_variants | eva | chembl | clingen | gene2phenotype | genomics_england
ENSG00000171759,Orphanet_238583,4.0,Hyperphenylalaninemia,0.904455273640232,162,genetic_association | known_drug | literature,eva | chembl | europepmc
ENSG00000171791,EFO_0000095,4.0,chronic lymphocytic leukemia,0.9459012886025362,1902,somatic_mutation | known_drug | literature | rna_expression | genetic_association,cancer_gene_census | chembl | europepmc | expression_atlas | gwas_credible_sets
ENSG00000171791,EFO_0000616,4.0,neoplasm,0.983311613682898,9080,literature | somatic_mutation | known_drug | genetic_association,europepmc | cancer_gene_census | chembl | eva
ENSG00000171873,EFO_0000319,4.0,cardiovascular disease,0.967901940585732,34,literature | known_drug,europepmc | chembl
ENSG00000171873,HP_0002315,4.0,Headache,0.9190679877429972,7,known_drug,chembl
ENSG00000171873,MONDO_0002050,4.0,depressive disorder,0.7666176227548546,10,known_drug | literature,chembl | europepmc
ENSG00000171873,MONDO_0005277,4.0,migraine disorder,0.9607983220922476,18,literature | known_drug,europepmc | chembl
ENSG00000172062,EFO_0008525,4.0,spinal muscular atrophy,0.9129101794256952,1272,literature | genetic_literature | genetic_association | known_drug,europepmc | genomics_england | eva | chembl
ENSG00000172572,EFO_0000319,4.0,cardiovascular disease,0.9111350096967448,18,literature | known_drug | genetic_association,europepmc | chembl | gwas_credible_sets
ENSG00000172572,EFO_0000712,4.0,stroke,0.9059762807281042,10,genetic_association | known_drug,gwas_credible_sets | chembl
ENSG00000172572,EFO_0001645,4.0,coronary artery disease,0.9244035444013966,26,literature | genetic_association | known_drug,europepmc | gwas_credible_sets | chembl
ENSG00000172572,EFO_0003144,4.0,heart failure,0.8507575196143182,35,known_drug | literature,chembl | europepmc
ENSG00000172572,HP_0004419,4.0,Recurrent thrombophlebitis,0.8274613634158176,3,known_drug,chembl
ENSG00000172572,HP_0006536,4.0,Airway obstruction,0.9066612367713316,6,known_drug,chembl
ENSG00000172819,EFO_0003894,4.0,acne,0.9966281475532353,248,known_drug | literature,chembl | europepmc
ENSG00000172819,MONDO_0007606,4.0,fibrodysplasia ossificans progressiva,0.781623942260166,33,literature | known_drug,europepmc | chembl
ENSG00000173198,EFO_0003956,4.0,seasonal allergic rhinitis,0.9755416635071912,33,known_drug,chembl
ENSG00000173198,EFO_0005854,4.0,allergic rhinitis,0.9758887048794178,71,known_drug | literature,chembl | europepmc
ENSG00000173198,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",0.8323760738024615,8,known_drug,chembl
ENSG00000173198,HP_0006536,4.0,Airway obstruction,0.865457038266544,6,known_drug | literature,chembl | europepmc
ENSG00000173198,MONDO_0004979,4.0,asthma,0.9974700031813564,305,known_drug,chembl
ENSG00000174175,MONDO_0011382,4.0,sickle cell disease,0.9085260082474218,61,literature | known_drug,europepmc | chembl
ENSG00000174886,EFO_0000400,4.0,diabetes mellitus,0.9897662699492094,99,known_drug,chembl
ENSG00000174886,MONDO_0005148,4.0,type 2 diabetes mellitus,0.9984097546156244,683,known_drug | literature,chembl | europepmc
