drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL408,ENSG00000132170,4.0,,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
CHEMBL408403,ENSG00000144891,4.0,,Type-1 angiotensin II receptor agonist,Type-1 angiotensin II receptor
CHEMBL4084119,ENSG00000112164,4.0,"Completed | Recruiting | Withdrawn | Terminated | Unknown status | Active, not recruiting | Not yet recruiting",Glucagon-like peptide 1 receptor agonist,Glucagon-like peptide 1 receptor
CHEMBL409,ENSG00000169083,4.0,,Androgen Receptor antagonist,Androgen receptor
CHEMBL411,ENSG00000091831,4.0,,Estrogen receptor alpha agonist,Estrogen receptor
CHEMBL413,ENSG00000088832,4.0,Completed,FK506-binding protein 1A inhibitor,Peptidyl-prolyl cis-trans isomerase FKBP1A
CHEMBL414357,ENSG00000112164,4.0,Terminated | Unknown status | Withdrawn | Completed | Recruiting,Glucagon-like peptide 1 receptor agonist,Glucagon-like peptide 1 receptor
CHEMBL415,ENSG00000108576,4.0,Terminated,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL416146,ENSG00000073756,4.0,,Cyclooxygenase-2 inhibitor,Prostaglandin G/H synthase 2
CHEMBL4164059,ENSG00000101180,4.0,,Histamine H3 receptor inverse agonist,Histamine H3 receptor
CHEMBL419213,ENSG00000159640,4.0,,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL42,ENSG00000102468,4.0,Recruiting | Completed | Terminated | Withdrawn,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL42,ENSG00000149295,4.0,Completed | Withdrawn | Recruiting | Terminated,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL4204794,ENSG00000134853,4.0,"Active, not recruiting",Platelet-derived growth factor receptor alpha inhibitor,Platelet-derived growth factor receptor alpha
CHEMBL4204794,ENSG00000157404,4.0,"Active, not recruiting",Stem cell growth factor receptor inhibitor,Mast/stem cell growth factor receptor Kit
CHEMBL4208229,ENSG00000097007,4.0,,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL1
CHEMBL4208229,ENSG00000186716,4.0,,Bcr/Abl fusion protein inhibitor,Bcr/Abl fusion protein
CHEMBL421,ENSG00000012779,4.0,Completed | Not yet recruiting | Recruiting | Terminated | Unknown status,Arachidonate 5-lipoxygenase inhibitor,Polyunsaturated fatty acid 5-lipoxygenase
CHEMBL421,ENSG00000073756,4.0,Completed | Recruiting | Terminated | Unknown status | Not yet recruiting,Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL421,ENSG00000095303,4.0,Not yet recruiting | Recruiting | Terminated | Unknown status | Completed,Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL4216467,ENSG00000134853,4.0,,Platelet-derived growth factor receptor alpha inhibitor,Platelet-derived growth factor receptor alpha
CHEMBL4216467,ENSG00000157404,4.0,,Stem cell growth factor receptor inhibitor,Mast/stem cell growth factor receptor Kit
CHEMBL422,ENSG00000069696,4.0,,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL422,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL422,ENSG00000147246,4.0,,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL422,ENSG00000149295,4.0,,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL422,ENSG00000151577,4.0,,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL423,ENSG00000043591,4.0,,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
CHEMBL4297064,ENSG00000103546,4.0,,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL4297064,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL4297147,ENSG00000069696,4.0,Completed,D2-like dopamine receptor inverse agonist,D2-like dopamine receptor
CHEMBL4297147,ENSG00000102468,4.0,Completed,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL4297147,ENSG00000149295,4.0,Completed,D2-like dopamine receptor inverse agonist,D2-like dopamine receptor
CHEMBL4297147,ENSG00000151577,4.0,Completed,D2-like dopamine receptor inverse agonist,D2-like dopamine receptor
CHEMBL4297185,ENSG00000169083,4.0,Recruiting,Androgen Receptor antagonist,Androgen receptor
CHEMBL4297216,ENSG00000096968,4.0,,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
CHEMBL4297216,ENSG00000122025,4.0,,Tyrosine-protein kinase receptor FLT3 inhibitor,Receptor-type tyrosine-protein kinase FLT3
CHEMBL4297229,ENSG00000132639,4.0,,Synaptosomal nerve-associated protein 25 (SNAP-25) proteolytic enzyme,Synaptosomal-associated protein 25
CHEMBL4297240,ENSG00000172062,4.0,,Survival motor neuron protein exogenous gene,Survival motor neuron protein
CHEMBL4297240,ENSG00000205571,4.0,,Survival motor neuron protein exogenous gene,Survival motor neuron protein
CHEMBL4297522,ENSG00000066468,4.0,,Fibroblast growth factor receptor 2 inhibitor,Fibroblast growth factor receptor 2
CHEMBL4297522,ENSG00000068078,4.0,,Fibroblast growth factor receptor 3 inhibitor,Fibroblast growth factor receptor 3
CHEMBL4297522,ENSG00000077782,4.0,,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
CHEMBL4297533,ENSG00000166603,4.0,,Melanocortin receptor 4 agonist,Melanocortin receptor 4
CHEMBL4297534,ENSG00000128602,4.0,,Smoothened homolog antagonist,Protein smoothened
CHEMBL4297549,ENSG00000088926,4.0,Completed,Coagulation factor XI inhibitor,Coagulation factor XI
CHEMBL4297549,ENSG00000131187,4.0,Completed,Coagulation factor XII inhibitor,Coagulation factor XII
CHEMBL4297549,ENSG00000164344,4.0,Completed,Plasma kallikrein inhibitor,Plasma kallikrein
CHEMBL4297549,ENSG00000182326,4.0,Completed,Complement C1s inhibitor,Complement C1s subcomponent
CHEMBL4297551,ENSG00000104870,4.0,,IgG receptor FcRn large subunit p51 antagonist,IgG receptor FcRn large subunit p51
CHEMBL4297573,ENSG00000167658,4.0,,Elongation factor 2 inhibitor,Elongation factor 2
CHEMBL4297573,ENSG00000185291,4.0,,Interleukin-3 receptor subunit alpha binding agent,Interleukin-3 receptor subunit alpha
CHEMBL4297573,ENSG00000292332,4.0,,Interleukin-3 receptor subunit alpha binding agent,Interleukin-3 receptor subunit alpha
CHEMBL4297610,ENSG00000138413,4.0,,Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor,Isocitrate dehydrogenase [NADP] cytoplasmic
CHEMBL4297700,ENSG00000112115,4.0,"Active, not recruiting | Recruiting",Interleukin 17A inhibitor,Interleukin-17A
CHEMBL4297700,ENSG00000112116,4.0,"Active, not recruiting | Recruiting",Interleukin-17F inhibitor,Interleukin-17F
CHEMBL4297723,ENSG00000188389,4.0,,Programmed cell death protein 1 inhibitor,Programmed cell death protein 1
CHEMBL4297734,ENSG00000174175,4.0,Completed | Recruiting,P-selectin blocker,P-selectin
CHEMBL4297750,ENSG00000091879,4.0,,Angiopoietin-2 inhibitor,Angiopoietin-2
CHEMBL4297750,ENSG00000112715,4.0,,Vascular endothelial growth factor A inhibitor,"Vascular endothelial growth factor A, long form"
CHEMBL4297774,ENSG00000105976,4.0,,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
