drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL1000,ENSG00000196639,4.0,Completed,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL100116,ENSG00000147955,4.0,Completed,Sigma opioid receptor modulator,Sigma non-opioid intracellular receptor 1
CHEMBL1009,ENSG00000151577,4.0,"Active, not recruiting | Enrolling by invitation | Terminated | Withdrawn | Completed | Recruiting",Dopamine D3 receptor agonist,D(3) dopamine receptor
CHEMBL1014,ENSG00000144891,4.0,Unknown status | Completed,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1017,ENSG00000144891,4.0,Completed | Terminated | Unknown status,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1025,ENSG00000087085,4.0,,Acetylcholinesterase inhibitor,Acetylcholinesterase
CHEMBL1029,ENSG00000148154,4.0,,Ceramide glucosyltransferase inhibitor,Ceramide glucosyltransferase
CHEMBL103,ENSG00000082175,4.0,Completed,Progesterone receptor agonist,Progesterone receptor
CHEMBL1042,ENSG00000111424,4.0,Recruiting | Completed | Unknown status,Vitamin D receptor agonist,Vitamin D3 receptor
CHEMBL1046,ENSG00000104368,4.0,Completed | Unknown status,Tissue-type plasminogen activator inhibitor,Tissue-type plasminogen activator
CHEMBL1046,ENSG00000122194,4.0,Unknown status | Completed,Plasminogen inhibitor,Plasminogen
CHEMBL1051,ENSG00000122420,4.0,Completed | Recruiting | Unknown status | Withdrawn | Terminated,Prostanoid FP receptor agonist,Prostaglandin F2-alpha receptor
CHEMBL1054,ENSG00000070915,4.0,,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Solute carrier family 12 member 3
CHEMBL1055,ENSG00000070915,4.0,Withdrawn | Suspended | Unknown status | Completed | Recruiting,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Solute carrier family 12 member 3
CHEMBL1064,ENSG00000113161,4.0,Completed | Unknown status,HMG-CoA reductase inhibitor,3-hydroxy-3-methylglutaryl-coenzyme A reductase
CHEMBL1069,ENSG00000144891,4.0,"Completed | Terminated | Withdrawn | Recruiting | Unknown status | Active, not recruiting | Not yet recruiting",Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1070,ENSG00000073756,4.0,,Cyclooxygenase-2 inhibitor,Prostaglandin G/H synthase 2
CHEMBL1072,ENSG00000074803,4.0,Recruiting | Completed,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Solute carrier family 12 member 1
CHEMBL1079742,ENSG00000146648,4.0,,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor
CHEMBL1082407,ENSG00000169083,4.0,"Terminated | Unknown status | Completed | Active, not recruiting",Androgen Receptor antagonist,Androgen receptor
CHEMBL1082607,ENSG00000169252,4.0,Completed | Recruiting | Terminated,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1083385,ENSG00000169313,4.0,Completed | Terminated,Purinergic receptor P2Y12 antagonist,P2Y purinoceptor 12
CHEMBL1083993,ENSG00000055118,4.0,,HERG blocker,Voltage-gated inwardly rectifying potassium channel KCNH2
CHEMBL1084172,ENSG00000169252,4.0,Withdrawn,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1085,ENSG00000149295,4.0,,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL1086,ENSG00000183873,4.0,,Sodium channel protein type V alpha subunit blocker,Sodium channel protein type 5 subunit alpha
CHEMBL1086,ENSG00000185313,4.0,,Sodium channel protein type X alpha subunit blocker,Sodium channel protein type 10 subunit alpha
CHEMBL10878,ENSG00000134640,4.0,Completed | Unknown status,Melatonin receptor agonist,Melatonin receptor
CHEMBL10878,ENSG00000147246,4.0,Completed | Unknown status,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL10878,ENSG00000168412,4.0,Unknown status | Completed,Melatonin receptor agonist,Melatonin receptor
CHEMBL1088,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1088,ENSG00000149295,4.0,,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL1089318,ENSG00000093010,4.0,"Completed | Active, not recruiting | Recruiting",Catechol O-methyltransferase inhibitor,Catechol O-methyltransferase
CHEMBL109,ENSG00000112294,4.0,"Completed | Recruiting | Active, not recruiting | Unknown status | Terminated | Withdrawn",Succinate semialdehyde dehydrogenase inhibitor,"Succinate-semialdehyde dehydrogenase, mitochondrial"
CHEMBL1091,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1094636,ENSG00000129484,4.0,,Poly [ADP-ribose] polymerase 2 inhibitor,Poly [ADP-ribose] polymerase 2
CHEMBL1094636,ENSG00000143799,4.0,,Poly [ADP-ribose] polymerase-1 inhibitor,Poly [ADP-ribose] polymerase 1
CHEMBL1094966,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1095097,ENSG00000151623,4.0,Completed | Recruiting | Withdrawn,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
CHEMBL1095607,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1095777,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1096146,ENSG00000170989,4.0,,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor 1
CHEMBL1096885,ENSG00000131747,4.0,,DNA topoisomerase II alpha inhibitor,DNA topoisomerase 2-alpha
CHEMBL1097279,ENSG00000169313,4.0,,Purinergic receptor P2Y12 antagonist,P2Y purinoceptor 12
CHEMBL1098,ENSG00000007314,4.0,"Active, not recruiting | Completed | Enrolling by invitation | Not yet recruiting | Terminated | Withdrawn | Recruiting | Suspended | Unknown status",Sodium channel protein type IV alpha subunit blocker,Sodium channel protein type 4 subunit alpha
CHEMBL11,ENSG00000103546,4.0,Completed | Terminated,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL11,ENSG00000108576,4.0,Completed | Terminated,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1101,ENSG00000168539,4.0,,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
CHEMBL1106,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1108,ENSG00000069696,4.0,,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL1108,ENSG00000102468,4.0,Completed,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1108,ENSG00000149295,4.0,Completed,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL1108,ENSG00000151577,4.0,Completed,D2-like dopamine receptor antagonist,D2-like dopamine receptor
CHEMBL111,ENSG00000118432,4.0,Terminated,Cannabinoid CB1 receptor antagonist,Cannabinoid receptor 1
CHEMBL1110,ENSG00000166736,4.0,,Serotonin 3a (5-HT3a) receptor antagonist,5-hydroxytryptamine receptor 3A
CHEMBL1112,ENSG00000102468,4.0,"Terminated | Completed | Unknown status | Active, not recruiting | Not yet recruiting | Recruiting | Withdrawn",Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1112,ENSG00000149295,4.0,"Unknown status | Completed | Terminated | Withdrawn | Active, not recruiting | Not yet recruiting | Recruiting",Dopamine D2 receptor partial agonist,D(2) dopamine receptor
CHEMBL1112,ENSG00000178394,4.0,"Unknown status | Completed | Terminated | Withdrawn | Active, not recruiting | Recruiting | Not yet recruiting",Serotonin 1a (5-HT1a) receptor partial agonist,5-hydroxytryptamine receptor 1A
CHEMBL1116,ENSG00000140009,4.0,,Estrogen receptor beta modulator,Estrogen receptor beta
CHEMBL1117,ENSG00000131747,4.0,,DNA topoisomerase II alpha inhibitor,DNA topoisomerase 2-alpha
CHEMBL1118,ENSG00000103546,4.0,Unknown status | Completed,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1118,ENSG00000108576,4.0,Unknown status | Completed,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL112,ENSG00000073756,4.0,"Not yet recruiting | Completed | Withdrawn | Terminated | Active, not recruiting | Enrolling by invitation | Unknown status | Recruiting",Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL112,ENSG00000095303,4.0,"Not yet recruiting | Completed | Unknown status | Enrolling by invitation | Terminated | Withdrawn | Active, not recruiting | Recruiting",Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL112,ENSG00000117480,4.0,"Completed | Unknown status | Terminated | Not yet recruiting | Recruiting | Withdrawn | Active, not recruiting | Enrolling by invitation",Anandamide amidohydrolase inhibitor,Fatty-acid amide hydrolase 1
CHEMBL112,ENSG00000196689,4.0,"Completed | Terminated | Unknown status | Active, not recruiting | Enrolling by invitation | Not yet recruiting | Recruiting | Withdrawn",Vanilloid receptor opener,Transient receptor potential cation channel subfamily V member 1
CHEMBL1123,ENSG00000133019,4.0,,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1123,ENSG00000168539,4.0,,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
CHEMBL1133,ENSG00000133019,4.0,Completed,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1133,ENSG00000181072,4.0,Completed,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
CHEMBL1138,ENSG00000015520,4.0,Completed | Unknown status,Niemann-Pick C1-like protein 1 inhibitor,NPC1-like intracellular cholesterol transporter 1
CHEMBL1139,ENSG00000160013,4.0,,Prostanoid IP receptor agonist,Prostacyclin receptor
CHEMBL1144,ENSG00000113161,4.0,Completed,HMG-CoA reductase inhibitor,3-hydroxy-3-methylglutaryl-coenzyme A reductase
CHEMBL1148,ENSG00000074803,4.0,Completed | Unknown status | Recruiting | Terminated,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Solute carrier family 12 member 1
CHEMBL1152,ENSG00000113580,4.0,Completed,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1159650,ENSG00000113580,4.0,Completed,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1159717,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1161,ENSG00000113580,4.0,"Completed | Unknown status | Active, not recruiting | Terminated",Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1164729,ENSG00000158125,4.0,Completed | Recruiting | Enrolling by invitation,Xanthine dehydrogenase inhibitor,Xanthine dehydrogenase/oxidase
CHEMBL1165,ENSG00000159640,4.0,,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL1166,ENSG00000180210,4.0,Terminated | Completed | Withdrawn,Thrombin inhibitor,Prothrombin
CHEMBL1168,ENSG00000159640,4.0,Completed | Recruiting | Withdrawn | Terminated,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL1172,ENSG00000196639,4.0,Terminated | Completed,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL117287,ENSG00000164270,4.0,Completed,Serotonin 4 (5-HT4) receptor agonist,5-hydroxytryptamine receptor 4
CHEMBL117785,ENSG00000165646,4.0,Completed | Recruiting,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
CHEMBL118,ENSG00000073756,4.0,Completed | Terminated | Unknown status | Withdrawn,Cyclooxygenase-2 inhibitor,Prostaglandin G/H synthase 2
CHEMBL1184,ENSG00000133019,4.0,,Muscarinic acetylcholine receptor M3 agonist,Muscarinic acetylcholine receptor M3
CHEMBL1185,ENSG00000135312,4.0,Completed,Serotonin 1b (5-HT1b) receptor agonist,5-hydroxytryptamine receptor 1B
CHEMBL1185,ENSG00000179546,4.0,Completed,Serotonin 1d (5-HT1d) receptor agonist,5-hydroxytryptamine receptor 1D
CHEMBL1189432,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1189679,ENSG00000166736,4.0,"Completed | Active, not recruiting",Serotonin 3a (5-HT3a) receptor antagonist,5-hydroxytryptamine receptor 3A
CHEMBL1193,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1194666,ENSG00000103546,4.0,Terminated,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1194666,ENSG00000142319,4.0,Terminated,Dopamine transporter inhibitor,Sodium-dependent dopamine transporter
CHEMBL1200322,ENSG00000108576,4.0,Unknown status,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200328,ENSG00000103546,4.0,Completed,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1200328,ENSG00000108576,4.0,Completed,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200332,ENSG00000103546,4.0,,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1200332,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200335,ENSG00000169083,4.0,,Androgen Receptor agonist,Androgen receptor
CHEMBL1200343,ENSG00000159640,4.0,,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL1200374,ENSG00000137869,4.0,Completed | Terminated | Recruiting,Cytochrome P450 19A1 inhibitor,Aromatase
CHEMBL1200383,ENSG00000168539,4.0,,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
CHEMBL1200384,ENSG00000113580,4.0,Completed | Recruiting,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200386,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200395,ENSG00000007314,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000103546,4.0,,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1200395,ENSG00000105464,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000116032,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000136531,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000136546,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000144285,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000153253,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000161509,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000168356,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000169432,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000176884,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000183454,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000183873,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000185313,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200395,ENSG00000196876,4.0,,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
CHEMBL1200395,ENSG00000198785,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200395,ENSG00000273079,4.0,,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
CHEMBL1200396,ENSG00000007314,4.0,"Active, not recruiting | Completed | Enrolling by invitation | Recruiting | Unknown status | Withdrawn | Not yet recruiting | Terminated",Sodium channel protein type IV alpha subunit blocker,Sodium channel protein type 4 subunit alpha
CHEMBL1200399,ENSG00000178394,4.0,,Serotonin 1a (5-HT1a) receptor partial agonist,5-hydroxytryptamine receptor 1A
CHEMBL1200406,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200418,ENSG00000043591,4.0,,Beta-1 adrenergic receptor agonist,Beta-1 adrenergic receptor
CHEMBL1200418,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1200419,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1200419,ENSG00000149295,4.0,,Dopamine D2 receptor antagonist,D(2) dopamine receptor
CHEMBL1200430,ENSG00000091831,4.0,,Estrogen receptor alpha agonist,Estrogen receptor
CHEMBL1200444,ENSG00000169252,4.0,,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
CHEMBL1200467,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200473,ENSG00000133019,4.0,,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1200479,ENSG00000133019,4.0,,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1200479,ENSG00000168539,4.0,,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
CHEMBL1200485,ENSG00000037280,4.0,,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
CHEMBL1200485,ENSG00000102755,4.0,,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
CHEMBL1200485,ENSG00000113721,4.0,,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
CHEMBL1200485,ENSG00000122025,4.0,,Tyrosine-protein kinase receptor FLT3 inhibitor,Receptor-type tyrosine-protein kinase FLT3
CHEMBL1200485,ENSG00000128052,4.0,,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
CHEMBL1200485,ENSG00000132155,4.0,,Serine/threonine-protein kinase RAF inhibitor,RAF proto-oncogene serine/threonine-protein kinase
CHEMBL1200485,ENSG00000157404,4.0,,Stem cell growth factor receptor inhibitor,Mast/stem cell growth factor receptor Kit
CHEMBL1200485,ENSG00000157764,4.0,,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
CHEMBL1200485,ENSG00000165731,4.0,,Tyrosine-protein kinase receptor RET inhibitor,Proto-oncogene tyrosine-protein kinase receptor Ret
CHEMBL1200491,ENSG00000196639,4.0,Completed | Withdrawn,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200492,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1200492,ENSG00000103546,4.0,,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL1200492,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200492,ENSG00000147246,4.0,,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL1200495,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200500,ENSG00000113580,4.0,Enrolling by invitation | Completed | Unknown status,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200501,ENSG00000109163,4.0,Not yet recruiting,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
CHEMBL1200509,ENSG00000109163,4.0,,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
CHEMBL1200515,ENSG00000165646,4.0,,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
CHEMBL1200517,ENSG00000179546,4.0,Completed,Serotonin 1d (5-HT1d) receptor agonist,5-hydroxytryptamine receptor 1D
CHEMBL1200521,ENSG00000135312,4.0,Completed,Serotonin 1b (5-HT1b) receptor agonist,5-hydroxytryptamine receptor 1B
CHEMBL1200521,ENSG00000179097,4.0,Completed,Serotonin 1f (5-HT1f) receptor agonist,5-hydroxytryptamine receptor 1F
CHEMBL1200521,ENSG00000179546,4.0,Completed,Serotonin 1d (5-HT1d) receptor agonist,5-hydroxytryptamine receptor 1D
CHEMBL1200534,ENSG00000159640,4.0,,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL1200538,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200545,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200554,ENSG00000109163,4.0,,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
CHEMBL1200600,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200601,ENSG00000135312,4.0,,Serotonin 1b (5-HT1b) receptor agonist,5-hydroxytryptamine receptor 1B
CHEMBL1200601,ENSG00000179546,4.0,,Serotonin 1d (5-HT1d) receptor agonist,5-hydroxytryptamine receptor 1D
CHEMBL1200604,ENSG00000133019,4.0,,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1200609,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200617,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200618,ENSG00000196639,4.0,Completed | Not yet recruiting,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200622,ENSG00000111424,4.0,Terminated | Completed,Vitamin D receptor agonist,Vitamin D3 receptor
CHEMBL1200636,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1200636,ENSG00000147246,4.0,,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL1200638,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200644,ENSG00000117601,4.0,Completed,Antithrombin-III activator,Antithrombin-III
CHEMBL1200659,ENSG00000159640,4.0,Withdrawn | Completed | Unknown status,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL1200666,ENSG00000111424,4.0,"Completed | Recruiting | Terminated | Unknown status | Active, not recruiting",Vitamin D receptor agonist,Vitamin D3 receptor
CHEMBL1200671,ENSG00000109163,4.0,,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
CHEMBL1200681,ENSG00000173198,4.0,Completed,Cysteinyl leukotriene receptor 1 antagonist,Cysteinyl leukotriene receptor 1
CHEMBL1200686,ENSG00000088832,4.0,Completed | Terminated,FK506-binding protein 1A inhibitor,Peptidyl-prolyl cis-trans isomerase FKBP1A
CHEMBL1200692,ENSG00000144891,4.0,Completed | Unknown status,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
CHEMBL1200699,ENSG00000118113,4.0,Completed | Recruiting | Terminated | Unknown status,Matrix metalloproteinase 8 inhibitor,Neutrophil collagenase
CHEMBL1200699,ENSG00000137673,4.0,Completed | Terminated | Recruiting,Matrix metalloproteinase 7 inhibitor,Matrilysin
CHEMBL1200699,ENSG00000137745,4.0,Completed | Terminated | Recruiting,Matrix metalloproteinase 13 inhibitor,Collagenase 3
CHEMBL1200699,ENSG00000196611,4.0,Terminated | Completed | Recruiting,Matrix metalloproteinase-1 inhibitor,Interstitial collagenase
CHEMBL1200710,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200724,ENSG00000103546,4.0,,Norepinephrine transporter releasing agent,Sodium-dependent noradrenaline transporter
CHEMBL1200748,ENSG00000132437,4.0,Recruiting | Completed | Terminated | Withdrawn,DOPA decarboxylase inhibitor,Aromatic-L-amino-acid decarboxylase
CHEMBL1200750,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200751,ENSG00000128059,4.0,Completed | Enrolling by invitation | Unknown status,Amidophosphoribosyltransferase inhibitor,Amidophosphoribosyltransferase
CHEMBL1200760,ENSG00000012779,4.0,,Arachidonate 5-lipoxygenase inhibitor,Polyunsaturated fatty acid 5-lipoxygenase
CHEMBL1200760,ENSG00000073756,4.0,,Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL1200760,ENSG00000095303,4.0,,Cyclooxygenase inhibitor,Cyclooxygenase
CHEMBL1200760,ENSG00000132170,4.0,,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
CHEMBL1200762,ENSG00000113580,4.0,,Glucocorticoid receptor agonist,Glucocorticoid receptor
CHEMBL1200764,ENSG00000133019,4.0,Completed,Muscarinic acetylcholine receptor M3 agonist,Muscarinic acetylcholine receptor M3
CHEMBL1200775,ENSG00000109163,4.0,Completed | Terminated | Recruiting,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
CHEMBL1200776,ENSG00000036828,4.0,,Calcium sensing receptor positive allosteric modulator,Extracellular calcium-sensing receptor
CHEMBL1200781,ENSG00000108576,4.0,Unknown status,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200795,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200798,ENSG00000102468,4.0,,Serotonin 2a (5-HT2a) receptor antagonist,5-hydroxytryptamine receptor 2A
CHEMBL1200798,ENSG00000108576,4.0,,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL1200798,ENSG00000147246,4.0,,Serotonin 2c (5-HT2c) receptor antagonist,5-hydroxytryptamine receptor 2C
CHEMBL1200799,ENSG00000122420,4.0,Completed | Terminated,Prostanoid FP receptor agonist,Prostaglandin F2-alpha receptor
CHEMBL1200803,ENSG00000133019,4.0,Terminated | Completed,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
CHEMBL1200803,ENSG00000181072,4.0,Terminated | Completed,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
CHEMBL1200809,ENSG00000196639,4.0,Completed | Withdrawn,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL1200810,ENSG00000111424,4.0,Completed | Terminated,Vitamin D receptor agonist,Vitamin D3 receptor
CHEMBL1200813,ENSG00000043591,4.0,,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
CHEMBL1200814,ENSG00000074410,4.0,,Carbonic anhydrase XII inhibitor,Carbonic anhydrase 12
CHEMBL1200814,ENSG00000104267,4.0,,Carbonic anhydrase II inhibitor,Carbonic anhydrase 2
CHEMBL1200814,ENSG00000133742,4.0,,Carbonic anhydrase I inhibitor,Carbonic anhydrase 1
CHEMBL1200814,ENSG00000167434,4.0,,Carbonic anhydrase IV inhibitor,Carbonic anhydrase 4
CHEMBL1200822,ENSG00000183873,4.0,,Sodium channel protein type V alpha subunit blocker,Sodium channel protein type 5 subunit alpha
CHEMBL1200825,ENSG00000112038,4.0,Terminated,Mu opioid receptor agonist,Mu-type opioid receptor
CHEMBL1200826,ENSG00000082701,4.0,Completed | Withdrawn | Terminated | Unknown status | Recruiting,Glycogen synthase kinase-3 inhibitor,Glycogen synthase kinase-3
CHEMBL1200826,ENSG00000105723,4.0,Unknown status | Withdrawn | Completed | Terminated | Recruiting,Glycogen synthase kinase-3 inhibitor,Glycogen synthase kinase-3
